DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM             1.443               1.216             0.226        10.483
RESSURF            5.484               4.564             0.920        16.260
SOLIN            342.210             342.210             0.000         0.000
AAM            1.413e+26           1.382e+26         3.076e+24      -999.000
CHI_200            0.008               0.002             0.006         1.745
CLDHGH            38.142              38.150            -0.008         5.173
CLDLOW            41.373              42.783            -1.410         5.922
CLDMED            26.211              26.936            -0.724         4.243
CLDTOT            62.127              63.158            -1.031         5.554
EKE_850           25.189              26.556            -1.368         4.238
EP            -3.407e-02          -2.674e-02        -7.325e-03         0.855
FLNS              54.336              56.181            -1.845         6.582
FLNSC             79.109              82.078            -2.969         7.825
FLNT             241.155             237.773             3.382         7.773
FLNTC            265.321             261.510             3.811         6.189
FSDS             188.123             189.357            -1.234        11.665
FSDSC            248.130             249.409            -1.280         4.457
FSNS             168.331             165.421             2.910        13.358
FSNSC            223.502             220.313             3.189        17.538
FSNSC_ICE         56.234              47.173             9.060        21.979
FSNSC_LAND       174.050             166.014             8.037        18.635
FSNT             242.598             238.989             3.609        12.391
FSNTC            293.189             288.961             4.228        16.196
ICEAREA            9.632              21.205           -11.574         0.500
LHFLX             90.572              86.852             3.720        14.697
LWCF              24.166              23.737             0.429         5.258
PRECT              3.145               3.004             0.141         0.793
PRECT_LAND         2.469               2.167             0.303         0.777
PRECT_OCEAN        3.500               3.498             0.002         0.797
PREH2O            28.678              25.166             3.512         4.396
PREH2O_OCEAN      31.949              29.325             2.624         4.375
PSI_200           -0.025              -0.026             0.001         0.330
PS               985.699             985.354             0.345        13.223
PSL             1013.119            1011.448             1.671         2.185
QFLX               3.111               2.978             0.133         0.451
SHFLX             17.939              17.823             0.116         9.066
SNOWHLND           7.582              10.351            -2.769        10.759
SST               21.665              20.131             1.534         1.689
STRESS_MAG         0.071               0.071             0.000         0.013
SWCF             -50.591             -49.972            -0.620        10.639
T_850            282.656             280.834             1.822         2.109
TGCLDLWP          43.108              41.084             2.024        13.852
TGCLDIWP          16.304              16.202             0.102         8.048
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.098            -0.012         0.065
AODDUST            0.003               0.017            -0.014         0.059
TREFHT           289.602             287.458             2.145         3.316
TS               290.366             288.258             2.108         3.566
TS_LAND          284.577             281.752             2.825         3.268
U_200             16.314              16.117             0.197         2.653
VT_850             0.194               0.170             0.024         1.455
Z3_500            57.030              56.469             0.562         0.576
