DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -26.909             -28.457             1.548        10.636
RESSURF          -10.165             -11.436             1.271        12.405
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.135              -0.101            -0.035         1.171
CLDHGH            36.575              36.094             0.481         3.410
CLDLOW            42.705              44.361            -1.656         5.195
CLDMED            28.382              29.823            -1.441         3.390
CLDTOT            61.931              62.726            -0.795         3.909
EKE_850           32.458              34.305            -1.846         3.940
EP             2.463e-02           2.605e-03         2.203e-02         0.415
FLNS              61.247              61.190             0.058         5.414
FLNSC             87.457              88.584            -1.127         6.252
FLNT             236.482             231.561             4.921         6.274
FLNTC            256.871             251.610             5.261         6.779
FSDS             168.156             168.667            -0.511         8.622
FSDSC            220.414             220.837            -0.423         5.474
FSNS             144.803             138.183             6.620        14.805
FSNSC            191.474             184.056             7.418        18.767
FSNSC_ICE         58.272              48.110            10.162        28.922
FSNSC_LAND       175.404             168.803             6.601        24.030
FSNT             209.573             203.104             6.469        13.343
FSNTC            252.170             244.572             7.598        17.322
ICEAREA            4.632              10.373            -5.741         0.286
LHFLX             67.509              64.089             3.420        10.805
LWCF              20.390              20.049             0.340         2.936
PRECT              2.272               2.176             0.096         0.407
PRECT_LAND         1.849               1.699             0.150         0.442
PRECT_OCEAN        2.931               2.934            -0.003         0.376
PREH2O            20.167              17.342             2.824         3.154
PREH2O_OCEAN      26.374              23.369             3.005         3.383
PSI_200           -7.112              -7.226             0.114         0.303
PS               974.310             976.508            -2.198        16.249
PSL             1018.451            1016.549             1.902         2.415
QFLX               2.297               2.179             0.118         0.346
SHFLX             26.212              24.341             1.871        10.818
SNOWHLND           2.494               4.693            -2.199        12.981
SST               19.613              18.031             1.581         1.824
STRESS_MAG         0.047               0.047             0.000         0.011
SWCF             -42.597             -41.468            -1.128         7.046
T_850            279.259             276.880             2.379         2.628
TGCLDLWP          37.320              36.011             1.309         6.607
TGCLDIWP          17.349              16.961             0.388         5.436
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.060               0.086            -0.026         0.076
AODDUST            0.008               0.033            -0.025         0.074
TREFHT           284.615             281.978             2.637         3.526
TS               285.309             282.664             2.645         3.760
TS_LAND          281.187             279.149             2.039         3.680
U_200             19.355              19.429            -0.075         2.001
VT_850             0.219               0.271            -0.053         1.488
Z3_500            56.733              56.071             0.662         0.678
