DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -109.997            -108.943            -1.054         8.160
RESSURF          -80.737             -79.881            -0.857        31.895
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.916               3.975            -0.059         1.050
CLDHGH            35.253              35.431            -0.178         4.524
CLDLOW            49.904              50.124            -0.219         6.191
CLDMED            34.605              35.990            -1.384         4.840
CLDTOT            66.412              66.912            -0.500         5.044
EKE_850           42.675              41.977             0.699         4.952
EP             1.781e-01           1.489e-01         2.928e-02         0.571
FLNS              59.911              59.575             0.336         6.956
FLNSC             87.714              87.687             0.027         9.010
FLNT             218.595             214.883             3.713         5.843
FLNTC            236.700             232.906             3.793         6.840
FSDS              90.115              90.160            -0.045         4.895
FSDSC            115.910             116.181            -0.270         2.004
FSNS              75.140              72.584             2.556         9.275
FSNSC             97.162              94.602             2.560        10.804
FSNSC_ICE          0.145               1.153            -1.008         0.068
FSNSC_LAND        77.871              77.791             0.081        16.452
FSNT             108.598             105.940             2.658         8.485
FSNTC            129.226             126.480             2.746         9.985
ICEAREA            7.349              13.178            -5.829         0.295
LHFLX             73.234              70.243             2.991        16.851
LWCF              18.104              18.024             0.081         3.670
PRECT              2.266               2.197             0.070         0.492
PRECT_LAND         1.145               1.091             0.054         0.332
PRECT_OCEAN        3.774               3.715             0.059         0.625
PREH2O            12.755              11.486             1.269         1.740
PREH2O_OCEAN      19.868              17.961             1.907         2.458
PSI_200           -8.723              -8.592            -0.131         0.405
PS               974.626             976.085            -1.459        16.514
PSL             1020.595            1017.625             2.970         3.925
QFLX               2.444               2.346             0.099         0.528
SHFLX             22.732              22.646             0.086        15.332
SNOWHLND           4.368               6.209            -1.841        12.485
SST               17.689              16.272             1.417         1.709
STRESS_MAG         0.072               0.078            -0.006         0.031
SWCF             -20.628             -20.540            -0.088         3.781
T_850            271.208             269.763             1.446         1.816
TGCLDLWP          25.369              24.015             1.353         5.710
TGCLDIWP          18.399              19.359            -0.960        10.472
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.049               0.056            -0.006         0.030
AODDUST            0.003               0.011            -0.007         0.027
TREFHT           274.531             272.689             1.842         3.672
TS               275.435             273.518             1.917         4.291
TS_LAND          264.569             264.080             0.489         2.809
U_200             26.459              25.712             0.746         3.146
VT_850             0.353               0.435            -0.082         2.269
Z3_500            55.349              54.759             0.590         0.644
