DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            57.253              53.664             3.589        21.263
RESSURF           61.953              59.410             2.543        28.632
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -4.147              -4.248             0.101         1.624
CLDHGH            36.644              35.742             0.903         5.755
CLDLOW            39.406              41.709            -2.303         9.758
CLDMED            20.754              22.698            -1.944         4.956
CLDTOT            59.461              60.166            -0.705         7.172
EKE_850           16.248              18.978            -2.730         4.386
EP            -1.868e-01          -1.872e-01         4.083e-04         0.860
FLNS              57.423              58.774            -1.351        10.532
FLNSC             81.698              85.757            -4.059         9.493
FLNT             254.926             249.120             5.806         9.205
FLNTC            277.472             270.907             6.565         9.068
FSDS             240.410             242.162            -1.753        19.124
FSDSC            324.328             325.653            -1.325        10.353
FSNS             212.812             203.470             9.342        26.089
FSNSC            289.406             278.191            11.215        33.017
FSNSC_ICE       -999.000             122.380          -999.000      -999.000
FSNSC_LAND       276.643             263.954            12.689        34.956
FSNT             312.179             302.784             9.395        24.607
FSNTC            381.986             369.961            12.025        31.891
ICEAREA            2.327               7.700            -5.373         0.362
LHFLX             63.250              58.769             4.481        17.774
LWCF              22.546              21.787             0.759         5.330
PRECT              2.396               2.236             0.159         0.829
PRECT_LAND         2.799               2.534             0.264         1.024
PRECT_OCEAN        2.024               2.109            -0.085         0.588
PREH2O            30.039              24.864             5.175         5.849
PREH2O_OCEAN      33.722              29.570             4.152         5.381
PSI_200           -4.589              -5.025             0.436         0.648
PS               973.328             976.262            -2.934        15.967
PSL             1015.785            1014.913             0.872         2.273
QFLX               2.209               2.049             0.160         0.566
SHFLX             30.186              26.517             3.668        16.073
SNOWHLND           0.447               2.811            -2.364        14.094
SST               21.172              19.397             1.775         2.077
STRESS_MAG         0.047               0.048            -0.001         0.013
SWCF             -69.807             -67.177            -2.630        15.330
T_850            288.510             284.838             3.672         4.379
TGCLDLWP          55.465              53.570             1.895        15.274
TGCLDIWP          18.090              15.883             2.207         8.217
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.077               0.120            -0.043         0.128
AODDUST            0.012               0.054            -0.042         0.124
TREFHT           294.332             291.051             3.281         4.530
TS               294.781             291.560             3.221         4.735
TS_LAND          297.130             293.671             3.459         5.229
U_200             10.257              11.710            -1.454         3.043
VT_850             0.051               0.097            -0.046         2.178
Z3_500            58.292              57.506             0.787         0.830
