DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            18.339              14.345             3.994        20.568
RESSURF           18.910              16.419             2.491        15.663
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.494               1.609            -0.114         0.988
CLDHGH            37.894              37.289             0.605         4.264
CLDLOW            40.478              42.508            -2.029         5.625
CLDMED            29.851              30.982            -1.131         4.332
CLDTOT            61.655              62.803            -1.148         4.539
EKE_850           31.469              32.904            -1.435         4.538
EP             5.206e-02           2.980e-02         2.226e-02         0.467
FLNS              66.166              64.416             1.750         7.717
FLNSC             92.995              92.116             0.878         8.690
FLNT             233.442             227.369             6.073         7.665
FLNTC            254.382             248.414             5.968         8.274
FSDS             211.736             212.953            -1.217        15.512
FSDSC            273.238             273.173             0.065         8.080
FSNS             176.533             165.601            10.932        26.951
FSNSC            231.063             218.044            13.018        35.502
FSNSC_ICE         41.477              44.497            -3.020        10.776
FSNSC_LAND       214.501             200.916            13.585        42.584
FSNT             251.781             241.714            10.067        25.060
FSNTC            300.262             287.952            12.310        33.353
ICEAREA            8.206              13.640            -5.434         0.291
LHFLX             60.889              57.130             3.759        11.021
LWCF              20.940              21.045            -0.105         3.832
PRECT              2.012               1.903             0.109         0.458
PRECT_LAND         1.712               1.546             0.166         0.514
PRECT_OCEAN        2.537               2.553            -0.016         0.399
PREH2O            16.754              14.590             2.164         2.597
PREH2O_OCEAN      22.225              20.002             2.223         2.908
PSI_200           -8.256              -8.463             0.208         0.368
PS               974.794             977.058            -2.264        16.690
PSL             1018.827            1017.040             1.787         2.651
QFLX               2.064               1.932             0.131         0.351
SHFLX             30.569              27.636             2.933        16.211
SNOWHLND           4.286               6.679            -2.393        11.900
SST               17.600              16.153             1.447         1.741
STRESS_MAG         0.047               0.046             0.001         0.015
SWCF             -48.481             -46.238            -2.243        11.977
T_850            277.640             275.361             2.279         2.637
TGCLDLWP          33.482              31.802             1.680         7.739
TGCLDIWP          17.822              17.945            -0.123         6.856
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.058               0.094            -0.036         0.104
AODDUST            0.010               0.045            -0.035         0.100
TREFHT           283.640             280.711             2.929         4.358
TS               284.312             281.376             2.936         4.644
TS_LAND          282.017             279.418             2.599         5.199
U_200             21.470              21.315             0.155         2.723
VT_850             0.367               0.433            -0.066         1.915
Z3_500            56.386              55.747             0.639         0.660
