DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -73.255             -72.880            -0.375         7.813
RESSURF          -40.787             -41.724             0.937        21.610
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.816              -1.759            -0.057         1.468
CLDHGH            36.518              35.941             0.577         4.197
CLDLOW            41.048              43.092            -2.043         6.679
CLDMED            28.315              29.607            -1.293         3.924
CLDTOT            60.184              61.032            -0.847         5.503
EKE_850           28.600              31.125            -2.525         4.706
EP             5.501e-02           2.171e-02         3.330e-02         0.567
FLNS              61.465              62.017            -0.552         6.560
FLNSC             87.403              88.785            -1.382         9.279
FLNT             238.986             234.860             4.126         6.728
FLNTC            258.956             254.206             4.750         7.567
FSDS             130.347             129.404             0.943         7.231
FSDSC            168.168             168.342            -0.174         3.503
FSNS             114.717             111.086             3.631         9.377
FSNSC            148.260             145.386             2.874        10.287
FSNSC_ICE       -999.000               9.883          -999.000      -999.000
FSNSC_LAND       132.602             132.545             0.057        15.272
FSNT             165.731             161.980             3.751         8.150
FSNTC            197.207             193.890             3.317         8.919
ICEAREA            0.667               6.975            -6.308         0.594
LHFLX             72.692              70.229             2.464        16.281
LWCF              19.970              19.346             0.624         4.117
PRECT              2.416               2.366             0.050         0.495
PRECT_LAND         1.741               1.625             0.117         0.508
PRECT_OCEAN        3.143               3.305            -0.162         0.473
PREH2O            21.128              18.416             2.712         3.362
PREH2O_OCEAN      27.020              25.035             1.985         3.529
PSI_200           -6.877              -6.825            -0.052         0.356
PS               974.466             976.639            -2.172        16.034
PSL             1018.569            1016.631             1.937         2.356
QFLX               2.471               2.387             0.084         0.514
SHFLX             21.346              20.565             0.782        10.158
SNOWHLND           0.876               3.075            -2.199        13.838
SST               21.329              19.582             1.747         2.027
STRESS_MAG         0.050               0.052            -0.002         0.012
SWCF             -31.477             -31.910             0.433         5.915
T_850            279.712             277.566             2.146         2.393
TGCLDLWP          35.046              34.623             0.422         8.218
TGCLDIWP          15.050              14.671             0.379         7.637
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.057               0.076            -0.020         0.058
AODDUST            0.005               0.023            -0.018         0.055
TREFHT           285.962             283.451             2.512         4.074
TS               286.712             284.191             2.521         4.506
TS_LAND          281.048             279.413             1.635         3.180
U_200             19.250              19.003             0.247         2.641
VT_850             0.073               0.102            -0.030         1.722
Z3_500            56.900              56.269             0.631         0.650
