DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -22.874             -23.152             0.278         6.038
RESSURF           -5.313              -5.214            -0.099        10.631
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.714               0.681             0.032         1.021
CLDHGH            35.037              35.311            -0.273         2.962
CLDLOW            49.683              52.209            -2.526         6.445
CLDMED            30.107              31.408            -1.301         3.444
CLDTOT            65.133              67.249            -2.116         4.646
EKE_850           39.825              41.152            -1.327         2.957
EP             1.462e-01           1.164e-01         2.973e-02         0.319
FLNS              54.191              54.233            -0.042         4.495
FLNSC             86.552              87.963            -1.410         6.279
FLNT             231.177             226.374             4.803         6.270
FLNTC            252.520             247.185             5.335         7.374
FSDS             165.430             166.079            -0.650         8.554
FSDSC            221.400             223.699            -2.299         2.893
FSNS             144.389             140.336             4.053         8.820
FSNSC            195.357             192.372             2.985        13.309
FSNSC_ICE         42.076              55.514           -13.438        20.945
FSNSC_LAND       139.798             120.158            19.640         6.148
FSNT             208.303             203.222             5.081         9.064
FSNTC            254.325             249.801             4.524        13.221
ICEAREA            5.826               9.777            -3.950         0.345
LHFLX             81.775              76.642             5.133         9.016
LWCF              21.343              20.811             0.532         2.871
PRECT              2.629               2.475             0.154         0.331
PRECT_LAND         1.606               1.366             0.239         0.400
PRECT_OCEAN        2.890               2.810             0.080         0.293
PREH2O            19.339              16.901             2.438         2.603
PREH2O_OCEAN      20.930              19.266             1.664         2.695
PSI_200            7.814               7.845            -0.031         0.165
PS               985.076             982.669             2.407        16.349
PSL             1008.378            1007.085             1.293         2.119
QFLX               2.775               2.591             0.184         0.297
SHFLX             13.736              14.675            -0.939         6.928
SNOWHLND          41.089              47.370            -6.281        13.389
SST               16.446              14.608             1.838         1.932
STRESS_MAG         0.083               0.087            -0.004         0.010
SWCF             -46.022             -46.580             0.558         7.748
T_850            276.885             274.924             1.961         2.357
TGCLDLWP          38.922              38.224             0.698         7.742
TGCLDIWP          15.200              16.353            -1.154         6.073
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.085               0.080             0.005         0.015
AODDUST            0.000               0.002            -0.002         0.010
TREFHT           283.411             280.532             2.879         4.106
TS               284.101             281.234             2.868         4.302
TS_LAND          268.583             262.881             5.701         5.263
U_200             26.405              25.946             0.458         1.433
VT_850            -0.187              -0.274             0.087         0.991
Z3_500            55.368              54.808             0.560         0.572
