DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            81.580              77.084             4.495        16.385
RESSURF           89.437              85.537             3.899        16.112
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.292              -3.349             0.058         0.508
CLDHGH            33.804              34.487            -0.684         3.283
CLDLOW            50.162              52.370            -2.208         6.562
CLDMED            25.880              27.436            -1.556         3.591
CLDTOT            64.860              66.886            -2.027         5.028
EKE_850           26.552              27.523            -0.971         2.366
EP             2.797e-02           1.057e-02         1.739e-02         0.393
FLNS              50.123              50.799            -0.676         4.300
FLNSC             81.944              84.779            -2.835         5.093
FLNT             240.175             236.049             4.126         5.774
FLNTC            260.374             255.889             4.486         5.951
FSDS             260.748             262.749            -2.001        16.261
FSDSC            349.767             353.510            -3.742         5.292
FSNS             223.435             216.589             6.845        18.745
FSNSC            305.989             299.948             6.041        29.207
FSNSC_ICE         96.864             111.274           -14.410        29.504
FSNSC_LAND       201.117             178.099            23.018        10.611
FSNT             321.754             313.133             8.621        19.104
FSNTC            394.860             386.286             8.574        28.902
ICEAREA            3.320               5.877            -2.556         0.312
LHFLX             72.862              68.644             4.218         8.460
LWCF              20.199              19.840             0.360         2.587
PRECT              2.472               2.337             0.136         0.368
PRECT_LAND         2.601               2.238             0.363         0.510
PRECT_OCEAN        2.495               2.425             0.070         0.333
PREH2O            23.615              20.596             3.019         3.241
PREH2O_OCEAN      24.632              22.215             2.417         3.337
PSI_200            7.306               7.189             0.117         0.181
PS               985.213             983.222             1.992        16.152
PSL             1008.081            1007.192             0.889         1.467
QFLX               2.500               2.347             0.153         0.272
SHFLX             11.013              11.609            -0.596         4.638
SNOWHLND          40.763              47.301            -6.538        14.262
SST               17.595              15.638             1.956         2.051
STRESS_MAG         0.070               0.076            -0.006         0.010
SWCF             -73.106             -73.153             0.047        14.853
T_850            279.681             277.764             1.917         2.185
TGCLDLWP          44.758              44.422             0.335         9.234
TGCLDIWP          11.828              12.743            -0.915         4.661
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.082               0.081             0.002         0.017
AODDUST            0.000               0.003            -0.002         0.013
TREFHT           286.665             284.216             2.449         3.164
TS               287.191             284.752             2.438         3.310
TS_LAND          277.633             272.685             4.948         4.893
U_200             21.438              21.054             0.384         1.709
VT_850            -0.086              -0.144             0.058         0.934
Z3_500            56.025              55.504             0.522         0.533
