DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM          -119.561            -115.957            -3.604         6.245
RESSURF          -92.840             -89.098            -3.743        23.816
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.727               4.882            -0.155         1.788
CLDHGH            35.170              35.128             0.042         3.854
CLDLOW            49.708              52.668            -2.960         7.209
CLDMED            34.222              35.195            -0.973         4.546
CLDTOT            65.415              67.710            -2.295         5.222
EKE_850           49.456              51.995            -2.539         5.007
EP             2.220e-01           1.701e-01         5.191e-02         0.397
FLNS              57.801              57.006             0.795         5.994
FLNSC             91.096              91.018             0.078         8.728
FLNT             222.909             217.441             5.468         7.379
FLNTC            245.645             239.410             6.235         9.381
FSDS              77.826              76.889             0.937         3.571
FSDSC            103.474             104.428            -0.954         1.179
FSNS              70.944              69.479             1.465         3.204
FSNSC             93.334              93.447            -0.113         2.536
FSNSC_ICE          0.640               2.178            -1.538         0.190
FSNSC_LAND        84.123              69.557            14.566         3.661
FSNT             103.348             101.483             1.864         3.238
FSNTC            124.812             124.226             0.586         2.355
ICEAREA            7.429              13.182            -5.752         0.501
LHFLX             89.926              84.185             5.741        12.574
LWCF              22.736              21.969             0.767         4.111
PRECT              2.811               2.660             0.151         0.400
PRECT_LAND         0.860               0.773             0.087         0.379
PRECT_OCEAN        3.262               3.199             0.062         0.368
PREH2O            15.427              13.540             1.888         2.038
PREH2O_OCEAN      17.303              16.016             1.287         2.152
PSI_200            7.595               7.833            -0.238         0.416
PS               985.448             982.678             2.770        16.560
PSL             1009.101            1007.452             1.648         3.032
QFLX               3.033               2.830             0.203         0.399
SHFLX             16.057              17.385            -1.328        11.928
SNOWHLND          41.270              47.406            -6.136        13.105
SST               14.952              13.191             1.761         1.876
STRESS_MAG         0.097               0.097            -0.000         0.016
SWCF             -21.464             -22.742             1.278         3.302
T_850            274.173             272.169             2.005         2.565
TGCLDLWP          33.931              32.844             1.086         7.937
TGCLDIWP          19.144              20.635            -1.490        10.470
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.087               0.078             0.008         0.016
AODDUST            0.000               0.002            -0.002         0.007
TREFHT           280.546             277.242             3.304         5.192
TS               281.392             278.090             3.303         5.541
TS_LAND          260.907             254.969             5.938         5.609
U_200             30.734              30.136             0.599         2.086
VT_850            -0.299              -0.420             0.121         1.710
Z3_500            54.784              54.195             0.589         0.615
