DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM           -73.458             -71.392            -2.067         5.311
RESSURF          -49.014             -46.649            -2.364        16.819
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.897              -0.982             0.085         0.410
CLDHGH            36.011              36.034            -0.022         3.152
CLDLOW            47.940              50.615            -2.674         7.677
CLDMED            29.965              31.450            -1.485         4.065
CLDTOT            64.434              66.578            -2.144         5.419
EKE_850           37.734              38.761            -1.027         3.108
EP             1.473e-01           1.284e-01         1.886e-02         0.378
FLNS              53.528              53.419             0.109         5.892
FLNSC             84.388              86.145            -1.757         7.740
FLNT             232.395             227.221             5.174         7.010
FLNTC            254.280             248.819             5.461         8.196
FSDS             119.893             118.676             1.216         5.958
FSDSC            161.150             162.762            -1.611         1.816
FSNS             109.063             106.788             2.275         5.424
FSNSC            146.037             146.298            -0.262         4.474
FSNSC_ICE          8.786              18.963           -10.176         7.127
FSNSC_LAND       112.793              94.438            18.355         4.506
FSNT             158.937             155.829             3.108         5.533
FSNTC            193.491             192.407             1.084         4.317
ICEAREA            3.594               5.842            -2.248         0.422
LHFLX             91.159              85.485             5.674        10.697
LWCF              21.885              21.598             0.287         3.037
PRECT              2.955               2.768             0.186         0.403
PRECT_LAND         1.564               1.293             0.271         0.481
PRECT_OCEAN        3.263               3.146             0.116         0.359
PREH2O            21.301              18.553             2.748         2.924
PREH2O_OCEAN      22.872              20.652             2.220         2.984
PSI_200            8.180               8.284            -0.104         0.203
PS               985.035             982.547             2.488        16.499
PSL             1008.450            1007.068             1.381         2.420
QFLX               3.102               2.897             0.205         0.350
SHFLX             13.389              14.534            -1.145         8.395
SNOWHLND          40.135              47.264            -7.129        17.061
SST               17.381              15.401             1.980         2.093
STRESS_MAG         0.082               0.088            -0.006         0.015
SWCF             -34.554             -36.578             2.024         5.511
T_850            278.007             276.004             2.003         2.467
TGCLDLWP          38.457              38.587            -0.131         9.515
TGCLDIWP          14.940              16.509            -1.569         6.651
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.088               0.082             0.005         0.014
AODDUST            0.000               0.001            -0.001         0.007
TREFHT           284.555             281.529             3.026         4.607
TS               285.339             282.323             3.016         4.848
TS_LAND          266.982             260.732             6.249         5.867
U_200             25.176              25.049             0.127         1.568
VT_850            -0.143              -0.220             0.077         1.307
Z3_500            55.602              55.017             0.585         0.613
