DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            19.969              17.576             2.393        13.414
RESSURF           31.202              29.303             1.900        14.345
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.331               2.193             0.138         1.698
CLDHGH            35.146              35.590            -0.445         4.618
CLDLOW            50.910              53.177            -2.267         6.327
CLDMED            30.345              31.528            -1.183         4.049
CLDTOT            65.807              67.812            -2.005         5.377
EKE_850           38.960              39.465            -0.504         4.129
EP             1.895e-01           1.586e-01         3.086e-02         0.434
FLNS              55.321              55.710            -0.389         5.342
FLNSC             88.782              89.902            -1.120         6.250
FLNT             229.244             224.795             4.449         6.505
FLNTC            249.783             244.620             5.164         7.009
FSDS             203.298             205.996            -2.698        14.451
FSDSC            271.207             274.100            -2.894         4.201
FSNS             174.157             168.423             5.733        16.302
FSNSC            236.063             229.734             6.329        26.142
FSNSC_ICE         56.234              62.362            -6.129        21.979
FSNSC_LAND       161.151             138.537            22.614         7.789
FSNT             249.213             242.371             6.842        16.163
FSNTC            304.134             296.218             7.916        25.568
ICEAREA            8.964              14.230            -5.266         0.447
LHFLX             73.151              68.260             4.891        10.801
LWCF              20.539              19.825             0.714         3.647
PRECT              2.276               2.133             0.143         0.400
PRECT_LAND         1.394               1.162             0.232         0.465
PRECT_OCEAN        2.514               2.434             0.079         0.377
PREH2O            17.013              14.912             2.101         2.408
PREH2O_OCEAN      18.673              17.278             1.395         2.440
PSI_200            8.171               8.074             0.098         0.269
PS               984.611             982.188             2.423        16.329
PSL             1007.883            1006.581             1.303         2.295
QFLX               2.465               2.291             0.174         0.342
SHFLX             14.482              15.151            -0.669         8.023
SNOWHLND          42.187              47.509            -5.322         9.767
SST               14.918              13.194             1.724         1.820
STRESS_MAG         0.096               0.099            -0.003         0.012
SWCF             -54.921             -53.847            -1.073        13.031
T_850            275.686             273.749             1.938         2.342
TGCLDLWP          38.527              37.086             1.441         8.202
TGCLDIWP          14.880              15.511            -0.631         7.336
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.086               0.081             0.005         0.021
AODDUST            0.000               0.003            -0.003         0.016
TREFHT           281.879             279.134             2.745         3.904
TS               282.486             279.762             2.724         4.097
TS_LAND          268.812             263.116             5.696         5.077
U_200             28.275              27.579             0.696         2.416
VT_850            -0.208              -0.308             0.099         1.327
Z3_500            55.061              54.512             0.548         0.566
