DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            44.767              46.558            -1.791         8.739
RESSURF           13.704              14.892            -1.188         6.006
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.517              -0.530             0.012         1.296
CLDHGH            42.909              43.379            -0.470         3.562
CLDLOW            31.908              31.813             0.096         3.461
CLDMED            19.968              20.074            -0.106         2.733
CLDTOT            59.898              60.405            -0.507         3.243
EKE_850           14.120              14.889            -0.769         2.968
EP            -1.545e-01          -1.077e-01        -4.682e-02         0.749
FLNS              48.339              52.070            -3.731         5.599
FLNSC             63.561              68.823            -5.262         6.161
FLNT             254.732             252.406             2.326         5.649
FLNTC            285.537             283.604             1.934         2.523
FSDS             222.333             223.784            -1.451         8.414
FSDSC            292.261             292.477            -0.216         5.962
FSNS             207.317             207.192             0.125        12.039
FSNSC            273.045             271.758             1.287        13.152
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       257.191             243.225            13.965        29.430
FSNT             299.499             298.964             0.535         9.146
FSNTC            360.963             359.145             1.818         8.666
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            127.713             123.166             4.546        12.194
LWCF              30.805              31.198            -0.393         4.080
PRECT              4.587               4.377             0.210         0.745
PRECT_LAND         4.161               3.772             0.389         0.689
PRECT_OCEAN        4.715               4.548             0.167         0.760
PREH2O            45.431              40.503             4.927         5.262
PREH2O_OCEAN      47.207              42.368             4.839         5.190
PSI_200           -0.693              -0.619            -0.074         0.266
PS               996.632             995.869             0.763         4.096
PSL             1012.727            1010.938             1.789         1.854
QFLX               4.433               4.269             0.163         0.383
SHFLX             17.562              17.065             0.497         6.868
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.160              26.962             1.198         1.251
STRESS_MAG         0.056               0.054             0.002         0.009
SWCF             -61.464             -60.181            -1.283         7.911
T_850            290.981             289.593             1.388         1.421
TGCLDLWP          51.388              47.988             3.400        16.099
TGCLDIWP          17.922              17.847             0.075         6.209
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.114               0.139            -0.025         0.098
AODDUST            0.004               0.029            -0.025         0.090
TREFHT           299.831             298.649             1.183         1.306
TS               300.750             299.648             1.102         1.326
TS_LAND          298.895             297.890             1.005         1.474
U_200              3.215               3.759            -0.543         2.183
VT_850             0.470               0.431             0.040         0.917
Z3_500            58.905              58.410             0.495         0.496
