DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            49.138              50.727            -1.589         9.534
RESSURF           13.780              14.863            -1.083        12.001
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.593              -0.592            -0.001         0.850
CLDHGH            44.385              44.774            -0.389         4.719
CLDLOW            31.399              31.205             0.194         3.887
CLDMED            20.210              20.536            -0.326         3.357
CLDTOT            60.020              60.397            -0.378         3.956
EKE_850            9.703              10.186            -0.483         2.264
EP            -1.664e-01          -1.275e-01        -3.886e-02         0.947
FLNS              49.791              53.360            -3.569         5.768
FLNSC             64.871              69.959            -5.088         6.279
FLNT             253.641             251.186             2.455         6.768
FLNTC            285.254             283.202             2.053         2.935
FSDS             225.362             226.747            -1.386        10.238
FSDSC            296.328             296.769            -0.441         5.128
FSNS             210.159             210.025             0.134        14.127
FSNSC            276.740             275.775             0.965        11.321
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       260.794             247.622            13.173        24.956
FSNT             302.779             301.913             0.866        11.563
FSNTC            365.305             363.475             1.829         8.240
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            129.745             125.558             4.188        14.476
LWCF              31.613              32.016            -0.402         5.007
PRECT              4.671               4.482             0.189         0.900
PRECT_LAND         4.684               4.357             0.327         0.593
PRECT_OCEAN        4.641               4.492             0.148         0.947
PREH2O            44.258              39.498             4.760         5.103
PREH2O_OCEAN      46.078              41.417             4.661         5.171
PSI_200            1.309               1.291             0.018         0.250
PS               995.827             995.461             0.366         4.075
PSL             1011.931            1010.547             1.384         1.483
QFLX               4.504               4.355             0.150         0.443
SHFLX             16.843              16.244             0.599         7.449
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.153              26.935             1.217         1.277
STRESS_MAG         0.060               0.059             0.000         0.010
SWCF             -62.526             -61.562            -0.964         8.002
T_850            290.636             289.126             1.510         1.620
TGCLDLWP          51.732              48.698             3.034        19.165
TGCLDIWP          18.793              19.020            -0.226         7.695
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.105               0.127            -0.021         0.077
AODDUST            0.002               0.022            -0.020         0.068
TREFHT           299.548             298.314             1.234         1.365
TS               300.472             299.303             1.168         1.420
TS_LAND          297.869             296.586             1.283         1.740
U_200              3.890               4.031            -0.142         2.495
VT_850            -2.373              -2.329            -0.044         1.069
Z3_500            58.794              58.323             0.471         0.472
