DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            26.260              28.671            -2.411         9.300
RESSURF           -4.941              -3.488            -1.453        11.680
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.480              -0.551             0.072         2.222
CLDHGH            41.560              42.411            -0.851         6.492
CLDLOW            31.924              31.893             0.032         5.054
CLDMED            20.119              20.220            -0.101         4.878
CLDTOT            59.355              60.351            -0.996         5.997
EKE_850            9.017               9.487            -0.470         1.692
EP            -6.205e-03           3.665e-02        -4.286e-02         1.336
FLNS              47.984              51.043            -3.059         6.300
FLNSC             63.236              67.815            -4.578         6.042
FLNT             256.080             253.198             2.883         9.172
FLNTC            285.467             283.336             2.132         3.503
FSDS             207.764             208.437            -0.673        12.288
FSDSC            276.494             275.929             0.564         8.817
FSNS             193.347             192.619             0.729        13.415
FSNSC            257.929             255.920             2.009        15.293
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       243.819             229.168            14.651        33.781
FSNT             282.340             281.869             0.471        10.915
FSNTC            342.661             340.859             1.803         8.646
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            132.708             127.790             4.918        18.706
LWCF              29.387              30.138            -0.751         6.671
PRECT              4.592               4.373             0.218         1.265
PRECT_LAND         3.282               3.016             0.266         1.146
PRECT_OCEAN        5.021               4.782             0.238         1.285
PREH2O            45.494              40.953             4.540         5.439
PREH2O_OCEAN      47.720              43.064             4.657         5.312
PSI_200           -2.873              -2.685            -0.188         0.380
PS               997.719             996.497             1.221         4.167
PSL             1013.860            1011.598             2.262         2.334
QFLX               4.585               4.410             0.176         0.565
SHFLX             17.596              17.274             0.323         7.798
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.012              26.838             1.173         1.236
STRESS_MAG         0.073               0.073             0.001         0.014
SWCF             -60.321             -58.990            -1.331        12.526
T_850            290.668             289.449             1.220         1.326
TGCLDLWP          51.480              48.821             2.659        18.360
TGCLDIWP          15.953              16.121            -0.168         7.982
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.135               0.167            -0.032         0.143
AODDUST            0.006               0.037            -0.031         0.131
TREFHT           299.607             298.525             1.082         1.289
TS               300.480             299.483             0.997         1.315
TS_LAND          298.220             297.525             0.695         1.443
U_200              0.457               1.475            -1.017         2.917
VT_850             3.457               3.308             0.149         1.642
Z3_500            58.986              58.471             0.515         0.516
