DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            51.395              53.329            -1.934        10.570
RESSURF           21.877              24.055            -2.178        10.248
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.548              -0.579             0.031         0.914
CLDHGH            43.371              43.860            -0.488         5.025
CLDLOW            31.276              31.044             0.232         4.233
CLDMED            18.974              19.204            -0.230         3.868
CLDTOT            59.673              59.984            -0.312         4.330
EKE_850            9.993               9.978             0.015         2.102
EP            -1.292e-01          -1.056e-01        -2.360e-02         1.005
FLNS              48.589              52.540            -3.951         6.619
FLNSC             63.290              68.573            -5.283         6.847
FLNT             255.282             253.072             2.210         8.125
FLNTC            286.265             284.454             1.811         2.977
FSDS             229.512             231.339            -1.827        11.381
FSDSC            296.593             296.736            -0.143         6.791
FSNS             214.165             214.192            -0.027        15.536
FSNSC            277.263             275.696             1.566        14.681
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       261.501             246.039            15.462        33.163
FSNT             306.677             306.400             0.276        11.732
FSNTC            365.711             363.774             1.937         9.420
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            125.870             120.625             5.246        14.215
LWCF              30.983              31.382            -0.399         6.046
PRECT              4.495               4.287             0.208         0.983
PRECT_LAND         4.271               3.895             0.376         0.813
PRECT_OCEAN        4.553               4.393             0.159         0.953
PREH2O            45.902              41.014             4.888         5.427
PREH2O_OCEAN      47.558              42.808             4.750         5.355
PSI_200            0.033               0.121            -0.088         0.253
PS               996.147             995.433             0.714         4.073
PSL             1012.211            1010.472             1.739         1.815
QFLX               4.366               4.181             0.184         0.438
SHFLX             17.828              16.972             0.856         9.325
SNOWHLND           0.000               0.000             0.000         0.000
SST               28.530              27.378             1.151         1.218
STRESS_MAG         0.054               0.052             0.002         0.010
SWCF             -59.034             -57.374            -1.661         9.603
T_850            291.446             290.111             1.335         1.409
TGCLDLWP          47.764              43.929             3.835        16.679
TGCLDIWP          18.218              18.029             0.189         7.213
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.128            -0.025         0.110
AODDUST            0.005               0.032            -0.027         0.104
TREFHT           300.281             299.133             1.148         1.311
TS               301.240             300.171             1.069         1.362
TS_LAND          299.756             298.803             0.953         1.686
U_200              5.675               6.394            -0.719         2.253
VT_850             0.135               0.112             0.023         1.110
Z3_500            58.912              58.428             0.484         0.484
