DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PI.CO2_1 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PI.CO2_1  e.ie12.E1850C5.f19_g16.PLIO.1xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PI.CO2_1
RESTOM            52.295              53.485            -1.190         9.525
RESSURF           24.090              24.074             0.016        11.576
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.443              -0.387            -0.056         1.998
CLDHGH            42.326              42.468            -0.142         6.321
CLDLOW            33.034              33.096            -0.062         4.686
CLDMED            20.565              20.360             0.205         4.671
CLDTOT            60.553              60.869            -0.316         5.754
EKE_850           10.417              11.602            -1.185         3.896
EP            -3.171e-01          -2.384e-01        -7.867e-02         1.263
FLNS              46.990              51.325            -4.335         7.548
FLNSC             62.844              68.924            -6.080         7.668
FLNT             253.902             252.159             1.743         9.514
FLNTC            285.151             283.414             1.737         3.369
FSDS             226.690             228.568            -1.878        12.086
FSDSC            299.628             300.447            -0.819         5.361
FSNS             211.593             211.892            -0.299        13.465
FSNSC            280.247             279.616             0.631        12.246
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       262.655             250.032            12.623        27.178
FSNT             306.197             305.644             0.553        11.617
FSNTC            370.173             368.458             1.715         8.571
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            122.530             118.733             3.797        16.171
LWCF              31.249              31.255            -0.006         7.093
PRECT              4.592               4.372             0.220         1.184
PRECT_LAND         4.402               3.824             0.578         1.214
PRECT_OCEAN        4.648               4.531             0.117         1.139
PREH2O            46.074              40.560             5.515         6.232
PREH2O_OCEAN      47.482              42.197             5.286         5.874
PSI_200           -1.242              -1.203            -0.039         0.355
PS               996.852             996.110             0.742         4.160
PSL             1012.926            1011.162             1.764         1.904
QFLX               4.275               4.134             0.142         0.477
SHFLX             17.984              17.761             0.223         8.906
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.945              26.693             1.252         1.335
STRESS_MAG         0.059               0.057             0.002         0.013
SWCF             -63.976             -62.814            -1.162        11.521
T_850            291.178             289.695             1.483         1.573
TGCLDLWP          54.554              50.554             4.001        20.427
TGCLDIWP          18.729              18.214             0.515         8.975
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.134            -0.021         0.091
AODDUST            0.003               0.024            -0.021         0.082
TREFHT           299.889             298.620             1.268         1.442
TS               300.809             299.632             1.177         1.474
TS_LAND          299.736             298.636             1.099         1.652
U_200              2.828               3.128            -0.300         2.862
VT_850             0.645               0.637             0.008         1.302
Z3_500            58.931              58.421             0.511         0.511
