DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            -0.118              -0.107            -0.011         3.125
RESSURF           -0.118              -0.110            -0.008         2.083
SOLIN            340.348             340.348             0.000         0.000
AAM            1.402e+26           1.349e+26         5.284e+24      -999.000
CHI_200            0.003               0.002             0.000         0.568
CLDHGH            38.096              38.333            -0.238         2.263
CLDLOW            38.672              41.111            -2.439         3.592
CLDMED            23.714              25.944            -2.230         3.373
CLDTOT            60.113              62.239            -2.126         3.177
EKE_850           26.873              28.045            -1.171         2.337
EP             3.212e-05           4.264e-05        -1.053e-05         0.460
FLNS              50.252              54.381            -4.129         5.260
FLNSC             70.759              78.663            -7.905         8.575
FLNT             244.609             241.266             3.342         4.535
FLNTC            267.803             265.669             2.133         3.703
FSDS             185.714             186.554            -0.840         5.350
FSDSC            242.384             246.295            -3.911         3.953
FSNS             167.331             166.912             0.419         4.752
FSNSC            219.487             221.747            -2.260         5.011
FSNSC_ICE         49.910              42.883             7.027        18.011
FSNSC_LAND       191.656             193.396            -1.739         3.289
FSNT             244.491             241.159             3.331         5.289
FSNTC            292.961             291.572             1.389         4.280
ICEAREA            5.547              10.458            -4.912         0.202
LHFLX             99.060              93.524             5.536         7.486
LWCF              23.194              24.403            -1.209         2.737
PRECT              3.408               3.211             0.198         0.451
PRECT_LAND         2.713               2.491             0.221         0.364
PRECT_OCEAN        3.753               3.626             0.126         0.489
PREH2O            35.961              28.889             7.072         7.735
PREH2O_OCEAN      39.582              32.551             7.032         8.317
PSI_200           -0.021              -0.021            -0.001         0.137
PS               986.413             985.719             0.694         1.089
PSL             1013.647            1013.170             0.477         0.833
QFLX               3.408               3.211             0.198         0.240
SHFLX             18.136              19.116            -0.980         3.385
SNOWHLND           7.040               8.234            -1.194         7.740
SST               24.158              21.365             2.792         2.841
STRESS_MAG         0.061               0.065            -0.004         0.007
SWCF             -48.471             -50.413             1.942         4.998
T_850            286.297             282.820             3.476         3.547
TGCLDLWP          43.891              42.841             1.049         6.838
TGCLDIWP          14.944              16.861            -1.917         4.619
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.087             0.005         0.012
AODDUST            0.004               0.004             0.000         0.001
TREFHT           293.157             289.641             3.517         3.716
TS               293.863             290.414             3.449         3.684
TS_LAND          288.804             284.369             4.435         4.577
U_200             16.101              15.883             0.218         1.062
VT_850             0.159               0.183            -0.024         0.544
Z3_500            57.881              57.066             0.815         0.820
