DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             7.779               8.329            -0.551         6.791
RESSURF            7.296               7.705            -0.409         9.357
SOLIN            350.480             350.480             0.000         0.000
AAM            1.514e+26           1.458e+26         5.633e+24      -999.000
CHI_200           -0.006              -0.010             0.003         0.932
CLDHGH            37.770              38.035            -0.265         3.695
CLDLOW            41.193              43.403            -2.210         4.203
CLDMED            24.665              26.673            -2.008         3.806
CLDTOT            61.637              63.638            -2.001         4.019
EKE_850           24.019              25.446            -1.427         3.293
EP             3.652e-03           7.190e-03        -3.538e-03         0.619
FLNS              49.005              53.157            -4.152         5.803
FLNSC             70.360              77.728            -7.368         9.021
FLNT             241.732             238.015             3.717         5.959
FLNTC            264.276             261.601             2.675         5.322
FSDS             191.698             193.196            -1.498         8.668
FSDSC            251.445             255.428            -3.982         4.449
FSNS             171.100             170.945             0.156         7.358
FSNSC            226.281             228.318            -2.038         8.735
FSNSC_ICE         58.244              22.214            36.030        22.559
FSNSC_LAND       148.222             148.696            -0.474         5.761
FSNT             249.511             246.345             3.166         7.534
FSNTC            300.459             298.783             1.677         8.280
ICEAREA            4.335              10.669            -6.334         0.340
LHFLX             99.283              93.221             6.063        10.396
LWCF              22.544              23.586            -1.042         3.812
PRECT              3.406               3.188             0.218         0.569
PRECT_LAND         2.700               2.426             0.274         0.503
PRECT_OCEAN        3.749               3.609             0.140         0.599
PREH2O            34.211              27.461             6.750         7.720
PREH2O_OCEAN      39.163              32.118             7.045         8.356
PSI_200            0.008               0.009            -0.002         0.226
PS               986.242             985.579             0.662         1.397
PSL             1013.867            1013.482             0.385         1.260
QFLX               3.410               3.195             0.214         0.321
SHFLX             15.516              16.862            -1.346         5.325
SNOWHLND           7.748               9.147            -1.399         8.307
SST               24.145              21.321             2.824         2.881
STRESS_MAG         0.063               0.067            -0.003         0.013
SWCF             -50.949             -52.438             1.489         7.468
T_850            284.540             281.034             3.505         3.615
TGCLDLWP          42.631              40.994             1.638         8.807
TGCLDIWP          14.746              16.423            -1.677         7.682
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.083               0.080             0.003         0.013
AODDUST            0.002               0.002            -0.000         0.001
TREFHT           291.058             287.341             3.717         4.189
TS               291.776             288.129             3.646         4.208
TS_LAND          281.278             276.451             4.827         5.184
U_200             17.009              16.811             0.198         1.956
VT_850            -0.717              -0.788             0.071         1.077
Z3_500            57.610              56.793             0.817         0.831
