DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -10.619             -10.727             0.107         5.559
RESSURF          -11.856             -11.707            -0.149         8.010
SOLIN            330.417             330.417             0.000         0.000
AAM            1.111e+26           1.083e+26         2.830e+24      -999.000
CHI_200            0.014               0.016            -0.002         1.524
CLDHGH            37.770              37.918            -0.148         3.298
CLDLOW            37.469              40.062            -2.593         4.686
CLDMED            22.472              24.866            -2.394         4.338
CLDTOT            59.206              61.341            -2.135         4.189
EKE_850           23.843              24.122            -0.279         2.830
EP             1.391e-02           9.121e-03         4.785e-03         0.722
FLNS              50.264              54.186            -3.922         5.708
FLNSC             69.871              78.156            -8.285         9.003
FLNT             248.594             245.024             3.570         5.686
FLNTC            272.091             270.065             2.026         3.713
FSDS             176.644             176.426             0.218         7.447
FSDSC            232.328             236.171            -3.843         4.275
FSNS             160.981             160.190             0.791         7.085
FSNSC            212.292             215.051            -2.759         5.174
FSNSC_ICE          0.319               0.640            -0.321         0.106
FSNSC_LAND       234.548             238.245            -3.697         4.391
FSNT             237.975             234.297             3.678         7.550
FSNTC            286.037             285.158             0.879         4.306
ICEAREA            4.525               9.756            -5.231         0.263
LHFLX            101.810              96.555             5.255         9.460
LWCF              23.497              25.041            -1.545         3.811
PRECT              3.493               3.311             0.182         0.685
PRECT_LAND         2.760               2.626             0.134         0.599
PRECT_OCEAN        3.839               3.683             0.156         0.727
PREH2O            38.317              30.831             7.486         8.230
PREH2O_OCEAN      40.173              32.966             7.207         8.542
PSI_200           -0.055              -0.054            -0.001         0.208
PS               986.645             985.910             0.734         1.242
PSL             1013.506            1012.947             0.559         1.018
QFLX               3.507               3.320             0.187         0.287
SHFLX             20.763              21.156            -0.393         4.672
SNOWHLND           6.260               7.206            -0.946         7.706
SST               23.841              21.070             2.772         2.829
STRESS_MAG         0.072               0.076            -0.004         0.009
SWCF             -48.062             -50.861             2.799         6.921
T_850            288.295             284.755             3.540         3.641
TGCLDLWP          46.920              47.111            -0.191         8.796
TGCLDIWP          15.430              17.669            -2.239         6.276
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.107               0.101             0.006         0.015
AODDUST            0.006               0.006             0.000         0.003
TREFHT           295.218             291.768             3.449         3.663
TS               295.888             292.496             3.391         3.657
TS_LAND          296.040             291.639             4.401         4.545
U_200             13.396              13.366             0.030         1.750
VT_850             1.064               1.196            -0.132         1.063
Z3_500            58.238              57.409             0.829         0.836
