DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             0.590               0.532             0.058         4.065
RESSURF           -2.153              -1.913            -0.240         5.903
SOLIN            338.285             338.285             0.000         0.000
AAM            1.526e+26           1.443e+26         8.214e+24      -999.000
CHI_200           -0.004              -0.003            -0.002         0.675
CLDHGH            38.994              39.237            -0.242         3.031
CLDLOW            37.321              39.608            -2.287         3.852
CLDMED            23.755              26.018            -2.263         3.925
CLDTOT            59.860              61.845            -1.985         3.604
EKE_850           24.398              25.549            -1.151         2.784
EP             2.414e-02           1.823e-02         5.908e-03         0.601
FLNS              51.705              55.842            -4.136         5.722
FLNSC             71.870              79.654            -7.784         8.757
FLNT             243.826             240.875             2.951         5.066
FLNTC            267.563             265.693             1.870         3.651
FSDS             187.267             188.477            -1.211         6.342
FSDSC            241.699             245.444            -3.745         3.878
FSNS             168.375             168.190             0.185         5.994
FSNSC            218.120             220.113            -1.994         5.551
FSNSC_ICE         46.842              33.554            13.289        15.426
FSNSC_LAND       212.059             212.592            -0.533         5.760
FSNT             244.416             241.407             3.009         6.136
FSNTC            290.693             289.157             1.535         5.100
ICEAREA            8.461              11.800            -3.339         0.231
LHFLX             99.278              93.759             5.519         8.743
LWCF              23.737              24.818            -1.081         3.272
PRECT              3.389               3.199             0.190         0.577
PRECT_LAND         2.631               2.442             0.189         0.408
PRECT_OCEAN        3.799               3.623             0.176         0.647
PREH2O            35.493              28.589             6.903         7.792
PREH2O_OCEAN      40.015              32.517             7.498         8.467
PSI_200           -0.012              -0.013             0.001         0.300
PS               986.367             985.690             0.677         1.259
PSL             1013.603            1013.130             0.473         1.024
QFLX               3.413               3.217             0.196         0.272
SHFLX             19.545              20.502            -0.957         3.959
SNOWHLND           7.453               8.999            -1.546         8.980
SST               24.244              21.421             2.823         2.880
STRESS_MAG         0.059               0.063            -0.004         0.010
SWCF             -46.277             -47.750             1.473         5.537
T_850            286.253             282.839             3.414         3.471
TGCLDLWP          41.489              40.166             1.324         8.104
TGCLDIWP          15.140              17.035            -1.895         4.820
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.087               0.084             0.004         0.012
AODDUST            0.005               0.005             0.000         0.002
TREFHT           293.281             289.856             3.426         3.624
TS               294.027             290.666             3.361         3.604
TS_LAND          288.959             284.818             4.141         4.278
U_200             17.531              17.044             0.486         1.659
VT_850             0.174               0.120             0.054         0.901
Z3_500            57.834              57.032             0.802         0.811
