DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM             1.790               1.443             0.347         5.571
RESSURF            6.227               5.484             0.743         6.089
SOLIN            342.210             342.210             0.000         0.000
AAM            1.460e+26           1.413e+26         4.694e+24      -999.000
CHI_200            0.010               0.008             0.002         0.735
CLDHGH            37.849              38.142            -0.293         3.319
CLDLOW            38.698              41.373            -2.676         4.256
CLDMED            23.966              26.211            -2.246         3.631
CLDTOT            59.750              62.127            -2.377         4.020
EKE_850           23.732              25.189            -1.457         2.842
EP            -4.134e-02          -3.407e-02        -7.274e-03         0.647
FLNS              50.033              54.336            -4.303         5.662
FLNSC             70.925              79.109            -8.184         8.896
FLNT             244.286             241.155             3.131         5.120
FLNTC            267.282             265.321             1.961         3.595
FSDS             187.260             188.123            -0.863         7.532
FSDSC            244.060             248.130            -4.070         4.267
FSNS             168.879             168.331             0.548         6.970
FSNSC            221.253             223.502            -2.249         8.691
FSNSC_ICE         49.693              56.234            -6.540        12.433
FSNSC_LAND       171.790             174.050            -2.261         2.843
FSNT             246.075             242.598             3.478         7.268
FSNTC            294.655             293.189             1.466         8.058
ICEAREA            4.868               9.632            -4.764         0.275
LHFLX             95.899              90.572             5.327         9.361
LWCF              22.997              24.166            -1.170         3.504
PRECT              3.346               3.145             0.201         0.596
PRECT_LAND         2.761               2.469             0.291         0.542
PRECT_OCEAN        3.631               3.500             0.131         0.622
PREH2O            35.831              28.678             7.153         7.977
PREH2O_OCEAN      39.154              31.949             7.205         8.434
PSI_200           -0.026              -0.025            -0.001         0.177
PS               986.400             985.699             0.702         1.146
PSL             1013.611            1013.119             0.492         0.943
QFLX               3.305               3.111             0.194         0.286
SHFLX             16.719              17.939            -1.219         3.862
SNOWHLND           6.697               7.582            -0.885         6.865
SST               23.668              20.850             2.817         2.881
STRESS_MAG         0.068               0.071            -0.003         0.008
SWCF             -48.580             -50.591             2.012         7.105
T_850            286.112             282.656             3.456         3.535
TGCLDLWP          44.509              43.108             1.401         8.968
TGCLDIWP          14.466              16.304            -1.838         5.532
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.093               0.086             0.007         0.016
AODDUST            0.003               0.003            -0.000         0.001
TREFHT           293.073             289.602             3.471         3.653
TS               293.760             290.366             3.394         3.612
TS_LAND          288.935             284.577             4.358         4.508
U_200             16.475              16.314             0.161         1.521
VT_850             0.107               0.194            -0.087         0.811
Z3_500            57.842              57.030             0.812         0.817
