DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -27.313             -26.909            -0.404         2.813
RESSURF          -10.097             -10.165             0.068         1.321
SOLIN            302.693             302.693             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.126              -0.135             0.009         0.392
CLDHGH            36.563              36.575            -0.011         1.848
CLDLOW            39.762              42.705            -2.943         3.797
CLDMED            25.442              28.382            -2.940         3.468
CLDTOT            59.682              61.931            -2.250         2.961
EKE_850           31.141              32.458            -1.318         2.302
EP             7.028e-03           2.463e-02        -1.761e-02         0.271
FLNS              58.439              61.247            -2.809         4.026
FLNSC             81.193              87.457            -6.264         7.174
FLNT             240.986             236.482             4.504         5.074
FLNTC            260.871             256.871             3.999         4.997
FSDS             167.834             168.156            -0.322         3.916
FSDSC            216.655             220.414            -3.760         3.789
FSNS             146.281             144.803             1.478         4.118
FSNSC            190.072             191.474            -1.402         4.074
FSNSC_ICE       -999.000              58.272          -999.000      -999.000
FSNSC_LAND       174.539             175.404            -0.865         3.056
FSNT             213.673             209.573             4.100         5.264
FSNTC            254.200             252.170             2.030         4.014
ICEAREA            2.566               4.632            -2.066         0.189
LHFLX             72.393              67.509             4.885         6.575
LWCF              19.885              20.390            -0.505         1.960
PRECT              2.469               2.272             0.197         0.323
PRECT_LAND         2.041               1.849             0.192         0.331
PRECT_OCEAN        2.997               2.931             0.065         0.318
PREH2O            25.721              20.167             5.555         5.782
PREH2O_OCEAN      31.738              26.374             5.363         6.837
PSI_200           -7.226              -7.112            -0.113         0.156
PS               974.706             974.310             0.396         0.986
PSL             1018.439            1018.451            -0.012         0.614
QFLX               2.476               2.297             0.179         0.226
SHFLX             25.546              26.212            -0.666         3.474
SNOWHLND           1.788               2.494            -0.706         4.084
SST               22.206              19.247             2.960         3.021
STRESS_MAG         0.044               0.047            -0.004         0.005
SWCF             -40.527             -42.597             2.070         3.920
T_850            283.301             279.259             4.041         4.098
TGCLDLWP          38.468              37.320             1.149         5.529
TGCLDIWP          15.633              17.349            -1.716         4.488
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.064               0.060             0.004         0.006
AODDUST            0.008               0.008             0.000         0.002
TREFHT           288.862             284.615             4.247         4.457
TS               289.521             285.309             4.213         4.462
TS_LAND          286.135             281.187             4.948         5.041
U_200             19.571              19.355             0.216         1.183
VT_850             0.183               0.219            -0.036         0.456
Z3_500            57.584              56.733             0.851         0.857
