DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM          -113.919            -109.997            -3.922         6.363
RESSURF          -84.021             -80.737            -3.284        11.537
SOLIN            162.398             162.398             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.222               3.916            -0.694         0.840
CLDHGH            35.680              35.253             0.427         3.398
CLDLOW            46.528              49.904            -3.377         5.213
CLDMED            31.805              34.605            -2.801         4.285
CLDTOT            63.675              66.412            -2.738         4.570
EKE_850           40.490              42.675            -2.185         4.471
EP             2.091e-01           1.781e-01         3.092e-02         0.469
FLNS              58.245              59.911            -1.666         3.939
FLNSC             84.316              87.714            -3.398         7.408
FLNT             224.969             218.595             6.373         7.650
FLNTC            242.892             236.700             6.192         8.534
FSDS              90.002              90.115            -0.113         3.879
FSDSC            114.014             115.910            -1.897         2.144
FSNS              76.288              75.140             1.149         3.766
FSNSC             96.928              97.162            -0.234         3.816
FSNSC_ICE          0.300               0.145             0.155         0.017
FSNSC_LAND        79.277              77.871             1.406         5.287
FSNT             111.050             108.598             2.452         4.199
FSNTC            130.679             129.226             1.454         3.875
ICEAREA            2.673               7.349            -4.676         0.472
LHFLX             81.404              73.234             8.170        12.909
LWCF              17.923              18.104            -0.181         3.834
PRECT              2.522               2.266             0.255         0.469
PRECT_LAND         1.351               1.145             0.206         0.351
PRECT_OCEAN        3.882               3.774             0.108         0.573
PREH2O            16.304              12.755             3.549         3.926
PREH2O_OCEAN      23.420              19.868             3.552         5.050
PSI_200           -8.828              -8.723            -0.104         0.301
PS               974.882             974.626             0.255         1.688
PSL             1020.271            1020.595            -0.324         1.463
QFLX               2.731               2.444             0.286         0.421
SHFLX             20.661              22.732            -2.071         7.878
SNOWHLND           3.453               4.368            -0.914         4.385
SST               20.234              17.307             2.927         2.980
STRESS_MAG         0.068               0.072            -0.004         0.018
SWCF             -19.629             -20.628             0.998         3.555
T_850            275.336             271.208             4.127         4.272
TGCLDLWP          27.610              25.369             2.241         9.136
TGCLDIWP          15.821              18.399            -2.577        11.961
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.053               0.049             0.003         0.006
AODDUST            0.003               0.003            -0.000         0.002
TREFHT           279.581             274.531             5.050         5.776
TS               280.444             275.435             5.009         5.897
TS_LAND          270.365             264.569             5.797         6.115
U_200             27.133              26.459             0.675         2.560
VT_850             0.274               0.353            -0.079         1.402
Z3_500            56.194              55.349             0.845         0.873
