DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            60.156              57.253             2.903         7.621
RESSURF           64.750              61.953             2.797         7.904
SOLIN            446.183             446.183             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.387              -4.147             0.760         1.384
CLDHGH            36.242              36.644            -0.402         3.179
CLDLOW            36.598              39.406            -2.808         5.287
CLDMED            17.924              20.754            -2.830         4.381
CLDTOT            57.634              59.461            -1.827         3.979
EKE_850           15.709              16.248            -0.540         2.598
EP            -2.811e-01          -1.868e-01        -9.428e-02         0.656
FLNS              54.076              57.423            -3.347         5.643
FLNSC             72.941              81.698            -8.757         9.397
FLNT             258.587             254.926             3.661         5.405
FLNTC            280.263             277.472             2.791         3.712
FSDS             241.272             240.410             0.862         9.871
FSDSC            318.525             324.328            -5.804         5.945
FSNS             215.337             212.812             2.525         9.567
FSNSC            286.176             289.406            -3.230         8.077
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       272.155             276.643            -4.488         5.210
FSNT             318.743             312.179             6.564        10.679
FSNTC            384.115             381.986             2.128         7.527
ICEAREA            0.739               2.327            -1.588         0.166
LHFLX             64.766              63.250             1.516         6.410
LWCF              21.676              22.546            -0.870         2.674
PRECT              2.556               2.396             0.160         0.652
PRECT_LAND         2.967               2.799             0.168         0.735
PRECT_OCEAN        2.136               2.024             0.112         0.565
PREH2O            38.276              30.039             8.237         8.537
PREH2O_OCEAN      41.947              33.722             8.225         9.285
PSI_200           -4.566              -4.589             0.023         0.229
PS               973.669             973.328             0.341         0.975
PSL             1015.848            1015.785             0.063         0.780
QFLX               2.275               2.209             0.066         0.190
SHFLX             31.745              30.186             1.559         4.796
SNOWHLND           0.138               0.447            -0.309         4.179
SST               23.900              20.935             2.965         3.052
STRESS_MAG         0.045               0.047            -0.002         0.007
SWCF             -65.372             -69.807             4.436         9.229
T_850            292.752             288.510             4.242         4.317
TGCLDLWP          53.651              55.465            -1.813         8.013
TGCLDIWP          17.589              18.090            -0.501         3.531
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.083               0.077             0.006         0.013
AODDUST            0.012               0.012            -0.000         0.004
TREFHT           298.219             294.332             3.887         4.045
TS               298.665             294.781             3.884         4.075
TS_LAND          301.878             297.130             4.748         4.840
U_200              9.885              10.257            -0.372         1.925
VT_850             0.082               0.051             0.031         0.999
Z3_500            59.171              58.292             0.879         0.886
