DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            19.263              18.339             0.924         5.145
RESSURF           19.617              18.910             0.708         5.869
SOLIN            366.058             366.058             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.324               1.494            -0.171         0.571
CLDHGH            37.669              37.894            -0.225         2.882
CLDLOW            37.716              40.478            -2.762         3.944
CLDMED            26.896              29.851            -2.954         3.769
CLDTOT            59.325              61.655            -2.331         3.585
EKE_850           30.112              31.469            -1.357         2.472
EP             6.880e-02           5.206e-02         1.674e-02         0.303
FLNS              64.018              66.166            -2.148         4.048
FLNSC             87.830              92.995            -5.165         6.343
FLNT             237.638             233.442             4.197         4.959
FLNTC            257.942             254.382             3.560         4.399
FSDS             210.389             211.736            -1.347         7.242
FSDSC            269.006             273.238            -4.232         4.324
FSNS             178.903             176.533             2.370         6.968
FSNSC            231.121             231.063             0.058         8.303
FSNSC_ICE         51.861              41.477            10.384        16.309
FSNSC_LAND       215.739             214.501             1.238         7.109
FSNT             256.901             251.781             5.120         7.824
FSNTC            303.991             300.262             3.729         8.706
ICEAREA            6.850               8.206            -1.355         0.163
LHFLX             65.337              60.889             4.449         7.004
LWCF              20.303              20.940            -0.636         2.306
PRECT              2.157               2.012             0.145         0.316
PRECT_LAND         1.847               1.712             0.135         0.313
PRECT_OCEAN        2.687               2.537             0.150         0.332
PREH2O            20.933              16.754             4.179         4.507
PREH2O_OCEAN      27.314              22.225             5.089         5.520
PSI_200           -8.603              -8.256            -0.347         0.388
PS               975.311             974.794             0.517         1.078
PSL             1018.979            1018.827             0.152         0.753
QFLX               2.226               2.064             0.162         0.234
SHFLX             29.930              30.569            -0.639         3.747
SNOWHLND           3.164               4.286            -1.121         4.682
SST               19.996              17.131             2.865         2.935
STRESS_MAG         0.046               0.047            -0.000         0.006
SWCF             -47.090             -48.481             1.391         6.305
T_850            281.463             277.640             3.823         3.847
TGCLDLWP          35.099              33.482             1.617         7.945
TGCLDIWP          15.864              17.822            -1.958         4.349
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.062               0.058             0.004         0.007
AODDUST            0.011               0.010             0.000         0.003
TREFHT           287.517             283.640             3.877         4.044
TS               288.162             284.312             3.849         4.051
TS_LAND          286.390             282.017             4.373         4.452
U_200             22.063              21.470             0.593         1.921
VT_850             0.316               0.367            -0.051         0.946
Z3_500            57.190              56.386             0.804         0.811
