DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -74.739             -73.255            -1.484         3.510
RESSURF          -40.757             -40.787             0.029         5.742
SOLIN            236.132             236.132             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.675              -1.816             0.141         0.596
CLDHGH            36.678              36.518             0.160         2.071
CLDLOW            38.182              41.048            -2.866         4.273
CLDMED            25.162              28.315            -3.153         3.826
CLDTOT            58.098              60.184            -2.086         3.368
EKE_850           26.738              28.600            -1.862         3.018
EP             3.203e-02           5.501e-02        -2.298e-02         0.362
FLNS              57.418              61.465            -4.047         5.333
FLNSC             79.676              87.403            -7.727         8.498
FLNT             242.747             238.986             3.762         4.497
FLNTC            262.386             258.956             3.430         4.439
FSDS             129.677             130.347            -0.670         3.972
FSDSC            165.069             168.168            -3.099         3.250
FSNS             114.603             114.717            -0.115         3.388
FSNSC            146.059             148.260            -2.202         2.655
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       130.978             132.602            -1.623         2.365
FSNT             168.008             165.731             2.278         3.772
FSNTC            198.015             197.207             0.808         1.311
ICEAREA            0.004               0.667            -0.663         0.128
LHFLX             78.095              72.692             5.403         8.626
LWCF              19.639              19.970            -0.331         2.058
PRECT              2.641               2.416             0.225         0.396
PRECT_LAND         1.998               1.741             0.257         0.415
PRECT_OCEAN        3.325               3.143             0.182         0.372
PREH2O            27.371              21.128             6.244         6.582
PREH2O_OCEAN      34.241              27.020             7.221         7.547
PSI_200           -6.908              -6.877            -0.031         0.120
PS               974.934             974.466             0.468         1.052
PSL             1018.629            1018.569             0.060         0.780
QFLX               2.673               2.471             0.202         0.287
SHFLX             19.846              21.346            -1.500         3.235
SNOWHLND           0.395               0.876            -0.480         4.468
SST               23.149              19.933             3.215         3.299
STRESS_MAG         0.047               0.050            -0.003         0.007
SWCF             -30.007             -31.477             1.470         3.583
T_850            283.729             279.712             4.018         4.076
TGCLDLWP          37.470              35.046             2.424         8.612
TGCLDIWP          13.280              15.050            -1.770         4.774
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.059               0.057             0.003         0.007
AODDUST            0.005               0.005             0.000         0.002
TREFHT           290.125             285.962             4.162         4.329
TS               290.810             286.712             4.098         4.292
TS_LAND          285.896             281.048             4.847         4.967
U_200             19.225              19.250            -0.025         1.213
VT_850             0.038               0.073            -0.035         0.718
Z3_500            57.773              56.900             0.873         0.879
