DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -22.785             -22.874             0.089         3.492
RESSURF           -5.356              -5.313            -0.043         2.069
SOLIN            303.716             303.716             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.618               0.714            -0.096         0.375
CLDHGH            35.086              35.037             0.049         1.798
CLDLOW            46.185              49.683            -3.499         4.446
CLDMED            26.826              30.107            -3.281         3.956
CLDTOT            62.200              65.133            -2.933         3.806
EKE_850           37.448              39.825            -2.377         3.004
EP             1.649e-01           1.462e-01         1.871e-02         0.290
FLNS              51.059              54.191            -3.131         4.506
FLNSC             79.131              86.552            -7.421         8.212
FLNT             235.197             231.177             4.020         4.536
FLNTC            255.433             252.520             2.913         3.837
FSDS             165.141             165.430            -0.289         6.375
FSDSC            217.577             221.400            -3.823         3.877
FSNS             146.020             144.389             1.632         4.946
FSNSC            193.902             195.357            -1.454         6.738
FSNSC_ICE         49.910              42.076             7.834        18.011
FSNSC_LAND       138.074             139.798            -1.724         3.698
FSNT             212.411             208.303             4.108         5.919
FSNTC            256.115             254.325             1.790         6.353
ICEAREA            2.981               5.826            -2.846         0.212
LHFLX             88.589              81.775             6.814         7.784
LWCF              20.236              21.343            -1.107         2.445
PRECT              2.855               2.629             0.226         0.344
PRECT_LAND         1.866               1.606             0.261         0.338
PRECT_OCEAN        3.076               2.890             0.185         0.335
PREH2O            24.334              19.339             4.995         5.345
PREH2O_OCEAN      25.807              20.930             4.877         5.481
PSI_200            7.927               7.814             0.113         0.156
PS               986.104             985.076             1.028         1.453
PSL             1009.219            1008.378             0.842         1.150
QFLX               3.020               2.775             0.245         0.268
SHFLX             11.729              13.736            -2.007         3.399
SNOWHLND          36.186              41.089            -4.903        17.419
SST               18.587              15.527             3.059         3.101
STRESS_MAG         0.080               0.083            -0.004         0.009
SWCF             -43.703             -46.022             2.318         6.245
T_850            280.408             276.885             3.523         3.565
TGCLDLWP          40.282              38.922             1.360         9.278
TGCLDIWP          12.183              15.200            -3.017         5.745
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.098               0.085             0.012         0.017
AODDUST            0.000               0.000             0.000         0.000
TREFHT           287.028             283.411             3.617         3.793
TS               287.634             284.101             3.533         3.744
TS_LAND          273.161             268.583             4.579         4.754
U_200             26.773              26.405             0.369         1.040
VT_850            -0.137              -0.187             0.049         0.593
Z3_500            56.222              55.368             0.854         0.858
