DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            84.019              81.580             2.440         9.050
RESSURF           91.615              89.437             2.178        10.273
SOLIN            469.683             469.683             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.734              -3.292             0.558         0.830
CLDHGH            33.965              33.804             0.162         2.470
CLDLOW            47.740              50.162            -2.422         4.262
CLDMED            23.133              25.880            -2.747         3.863
CLDTOT            63.099              64.860            -1.761         3.702
EKE_850           24.169              26.552            -2.383         3.420
EP             9.600e-03           2.797e-02        -1.837e-02         0.460
FLNS              45.926              50.123            -4.197         5.822
FLNSC             73.407              81.944            -8.537         9.151
FLNT             243.161             240.175             2.986         4.219
FLNTC            262.662             260.374             2.287         3.181
FSDS             258.519             260.748            -2.229        12.963
FSDSC            343.890             349.767            -5.877         6.074
FSNS             224.855             223.435             1.420        10.547
FSNSC            304.077             305.989            -1.912        14.343
FSNSC_ICE        106.674              96.864             9.810        30.566
FSNSC_LAND       199.247             201.117            -1.871         9.574
FSNT             327.180             321.754             5.426        11.157
FSNTC            398.078             394.860             3.218        14.046
ICEAREA            1.662               3.320            -1.659         0.170
LHFLX             77.845              72.862             4.982         7.755
LWCF              19.500              20.199            -0.699         2.496
PRECT              2.670               2.472             0.198         0.438
PRECT_LAND         3.018               2.601             0.417         0.581
PRECT_OCEAN        2.635               2.495             0.140         0.408
PREH2O            29.779              23.615             6.164         6.718
PREH2O_OCEAN      30.732              24.632             6.101         6.642
PSI_200            7.335               7.306             0.029         0.191
PS               986.225             985.213             1.012         1.578
PSL             1008.888            1008.081             0.807         1.485
QFLX               2.680               2.500             0.180         0.244
SHFLX              9.469              11.013            -1.544         3.203
SNOWHLND          35.284              40.763            -5.479        18.696
SST               19.727              16.616             3.111         3.169
STRESS_MAG         0.069               0.070            -0.002         0.014
SWCF             -70.898             -73.106             2.208        11.244
T_850            283.215             279.681             3.534         3.566
TGCLDLWP          46.154              44.758             1.396        10.442
TGCLDIWP          10.392              11.828            -1.436         3.677
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.092               0.082             0.009         0.017
AODDUST            0.000               0.000             0.000         0.001
TREFHT           290.081             286.665             3.415         3.509
TS               290.524             287.191             3.333         3.445
TS_LAND          281.829             277.633             4.196         4.351
U_200             21.862              21.438             0.424         1.750
VT_850            -0.065              -0.086             0.021         0.915
Z3_500            56.882              56.025             0.856         0.865
