DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM          -122.210            -119.561            -2.649         4.065
RESSURF          -95.351             -92.840            -2.510        10.125
SOLIN            150.545             150.545             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.812               4.727            -0.915         1.101
CLDHGH            35.422              35.170             0.252         2.459
CLDLOW            45.328              49.708            -4.379         5.483
CLDMED            30.576              34.222            -3.646         4.631
CLDTOT            61.618              65.415            -3.797         4.790
EKE_850           47.582              49.456            -1.874         3.532
EP             2.594e-01           2.220e-01         3.744e-02         0.337
FLNS              55.570              57.801            -2.231         4.263
FLNSC             84.609              91.096            -6.487         7.783
FLNT             227.901             222.909             4.992         5.707
FLNTC            249.136             245.645             3.491         4.893
FSDS              78.951              77.826             1.125         2.938
FSDSC            101.622             103.474            -1.851         2.056
FSNS              72.082              70.944             1.138         2.595
FSNSC             91.905              93.334            -1.429         1.885
FSNSC_ICE          0.319               0.640            -0.321         0.106
FSNSC_LAND        82.928              84.123            -1.195         1.645
FSNT             105.690             103.348             2.343         3.352
FSNTC            124.950             124.812             0.138         0.707
ICEAREA            3.786               7.429            -3.643         0.325
LHFLX             98.287              89.926             8.361        10.589
LWCF              21.236              22.736            -1.501         3.242
PRECT              3.075               2.811             0.264         0.428
PRECT_LAND         1.005               0.860             0.145         0.284
PRECT_OCEAN        3.502               3.262             0.241         0.431
PREH2O            19.426              15.427             3.999         4.280
PREH2O_OCEAN      21.239              17.303             3.936         4.553
PSI_200            7.682               7.595             0.087         0.194
PS               986.505             985.448             1.056         1.726
PSL             1009.973            1009.101             0.873         1.382
QFLX               3.334               3.033             0.302         0.363
SHFLX             13.575              16.057            -2.481         5.519
SNOWHLND          36.619              41.270            -4.651        17.262
SST               17.073              14.032             3.041         3.084
STRESS_MAG         0.092               0.097            -0.005         0.011
SWCF             -19.260             -21.464             2.205         3.373
T_850            277.703             274.173             3.529         3.606
TGCLDLWP          35.749              33.931             1.818        10.779
TGCLDIWP          14.269              19.144            -4.876         9.294
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.101               0.087             0.014         0.019
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           284.329             280.546             3.783         4.085
TS               285.082             281.392             3.690         4.083
TS_LAND          265.807             260.907             4.900         5.144
U_200             31.092              30.734             0.358         1.532
VT_850            -0.221              -0.299             0.077         1.059
Z3_500            55.642              54.784             0.858         0.868
