DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM           -74.617             -73.458            -1.159         3.278
RESSURF          -50.003             -49.014            -0.989         7.118
SOLIN            229.109             229.109             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.749              -0.897             0.148         0.437
CLDHGH            35.922              36.011            -0.090         2.274
CLDLOW            44.680              47.940            -3.260         4.685
CLDMED            26.418              29.965            -3.547         4.462
CLDTOT            61.666              64.434            -2.768         3.954
EKE_850           35.246              37.734            -2.488         3.808
EP             1.486e-01           1.473e-01         1.378e-03         0.412
FLNS              49.944              53.528            -3.584         5.607
FLNSC             76.347              84.388            -8.041         9.235
FLNT             236.357             232.395             3.962         5.021
FLNTC            257.136             254.280             2.856         4.246
FSDS             120.316             119.893             0.423         4.259
FSDSC            158.329             161.150            -2.821         2.935
FSNS             109.861             109.063             0.798         3.928
FSNSC            143.963             146.037            -2.073         3.247
FSNSC_ICE         10.785               8.786             1.999         6.046
FSNSC_LAND       111.218             112.793            -1.575         2.781
FSNT             161.740             158.937             2.803         4.482
FSNTC            194.008             193.491             0.517         2.127
ICEAREA            1.610               3.594            -1.983         0.315
LHFLX             98.601              91.159             7.441         9.324
LWCF              20.779              21.885            -1.106         2.731
PRECT              3.219               2.955             0.265         0.460
PRECT_LAND         1.864               1.564             0.300         0.426
PRECT_OCEAN        3.493               3.263             0.231         0.460
PREH2O            26.926              21.301             5.625         6.060
PREH2O_OCEAN      28.496              22.872             5.624         6.190
PSI_200            8.402               8.180             0.222         0.270
PS               986.196             985.035             1.160         1.852
PSL             1009.418            1008.450             0.968         1.574
QFLX               3.368               3.102             0.266         0.313
SHFLX             11.319              13.389            -2.070         4.197
SNOWHLND          34.418              40.135            -5.717        20.252
SST               19.748              16.595             3.152         3.201
STRESS_MAG         0.076               0.082            -0.006         0.013
SWCF             -32.268             -34.554             2.286         4.375
T_850            281.554             278.007             3.548         3.609
TGCLDLWP          39.390              38.457             0.933        10.044
TGCLDIWP          12.106              14.940            -2.835         5.771
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.097               0.088             0.009         0.016
AODDUST            0.000               0.000             0.000         0.000
TREFHT           288.260             284.555             3.705         3.976
TS               288.963             285.339             3.624         3.963
TS_LAND          271.783             266.982             4.801         5.069
U_200             25.142              25.176            -0.034         1.255
VT_850            -0.094              -0.143             0.049         1.073
Z3_500            56.485              55.602             0.883         0.893
