DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            21.688              19.969             1.719         7.697
RESSURF           32.302              31.202             1.099         6.571
SOLIN            365.528             365.528             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            2.160               2.331            -0.171         0.693
CLDHGH            35.036              35.146            -0.110         2.750
CLDLOW            46.979              50.910            -3.931         5.113
CLDMED            27.170              30.345            -3.175         4.058
CLDTOT            62.415              65.807            -3.392         4.533
EKE_850           36.527              38.960            -2.433         3.782
EP             2.430e-01           1.895e-01         5.356e-02         0.352
FLNS              52.804              55.321            -2.517         4.289
FLNSC             82.159              88.782            -6.623         7.603
FLNT             233.366             229.244             4.122         4.750
FLNTC            252.791             249.783             3.008         3.843
FSDS             202.812             203.298            -0.486        10.132
FSDSC            266.464             271.207            -4.743         4.948
FSNS             177.304             174.157             3.148         9.449
FSNSC            235.655             236.063            -0.409        14.475
FSNSC_ICE         49.693              56.234            -6.540        12.433
FSNSC_LAND       158.902             161.151            -2.249         2.915
FSNT             255.054             249.213             5.841        10.174
FSNTC            307.413             304.134             3.279        14.116
ICEAREA            4.864               8.964            -4.100         0.313
LHFLX             79.646              73.151             6.495         8.719
LWCF              19.425              20.539            -1.114         2.803
PRECT              2.455               2.276             0.179         0.374
PRECT_LAND         1.579               1.394             0.185         0.343
PRECT_OCEAN        2.658               2.514             0.144         0.367
PREH2O            21.211              17.013             4.197         4.520
PREH2O_OCEAN      22.661              18.673             3.988         4.680
PSI_200            8.290               8.171             0.119         0.216
PS               985.499             984.611             0.888         1.481
PSL             1008.607            1007.883             0.724         1.230
QFLX               2.698               2.465             0.233         0.295
SHFLX             12.552              14.482            -1.929         4.380
SNOWHLND          38.421              42.187            -3.766        14.757
SST               16.989              14.002             2.987         3.035
STRESS_MAG         0.093               0.096            -0.003         0.009
SWCF             -52.359             -54.921             2.562         9.863
T_850            279.165             275.686             3.478         3.528
TGCLDLWP          39.823              38.527             1.296        10.140
TGCLDIWP          11.968              14.880            -2.912         6.696
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.103               0.086             0.017         0.022
AODDUST            0.000               0.000            -0.000         0.000
TREFHT           285.442             281.879             3.563         3.745
TS               285.968             282.486             3.482         3.719
TS_LAND          273.218             268.812             4.406         4.540
U_200             29.006              28.275             0.731         1.858
VT_850            -0.165              -0.208             0.044         0.835
Z3_500            55.879              55.061             0.819         0.824
