DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            45.023              44.767             0.256         3.042
RESSURF           13.659              13.704            -0.045         2.597
SOLIN            407.600             407.600             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.438              -0.517             0.079         0.801
CLDHGH            42.208              42.909            -0.701         2.893
CLDLOW            30.884              31.908            -1.024         2.305
CLDMED            19.331              19.968            -0.636         2.631
CLDTOT            58.613              59.898            -1.285         2.706
EKE_850           14.108              14.120            -0.012         1.592
EP            -1.555e-01          -1.545e-01        -1.031e-03         0.673
FLNS              42.111              48.339            -6.228         6.687
FLNSC             53.732              63.561            -9.828         9.950
FLNT             256.409             254.732             1.677         3.981
FLNTC            285.276             285.537            -0.261         1.612
FSDS             220.524             222.333            -1.808         5.458
FSDSC            288.134             292.261            -4.127         4.160
FSNS             205.680             207.317            -1.638         5.098
FSNSC            269.279             273.045            -3.766         3.801
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       253.718             257.191            -3.473         3.497
FSNT             301.432             299.499             1.932         4.672
FSNTC            361.410             360.963             0.446         0.591
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            132.681             127.713             4.969         7.969
LWCF              28.867              30.805            -1.938         3.488
PRECT              4.760               4.587             0.173         0.608
PRECT_LAND         4.415               4.161             0.254         0.429
PRECT_OCEAN        4.861               4.715             0.146         0.660
PREH2O            55.758              45.431            10.327        10.584
PREH2O_OCEAN      57.871              47.207            10.664        10.925
PSI_200           -0.695              -0.693            -0.002         0.096
PS               997.293             996.632             0.661         0.735
PSL             1013.317            1012.727             0.590         0.640
QFLX               4.604               4.433             0.172         0.224
SHFLX             17.228              17.562            -0.334         3.290
SNOWHLND           0.000               0.000             0.000         0.000
SST               30.614              28.169             2.445         2.453
STRESS_MAG         0.052               0.056            -0.004         0.006
SWCF             -59.978             -61.464             1.486         4.581
T_850            293.936             290.981             2.955         2.976
TGCLDLWP          52.067              51.388             0.679         5.078
TGCLDIWP          16.818              17.922            -1.104         3.440
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.113               0.114            -0.001         0.010
AODDUST            0.004               0.004             0.000         0.001
TREFHT           302.595             299.831             2.764         2.793
TS               303.431             300.750             2.681         2.725
TS_LAND          302.300             298.895             3.405         3.430
U_200              3.298               3.215             0.082         0.961
VT_850             0.394               0.470            -0.077         0.568
Z3_500            59.653              58.905             0.748         0.748
