DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            48.931              49.138            -0.207         4.335
RESSURF           13.632              13.780            -0.148         5.480
SOLIN            412.836             412.836             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.459              -0.593             0.133         1.086
CLDHGH            43.106              44.385            -1.279         4.733
CLDLOW            30.437              31.399            -0.962         2.934
CLDMED            19.589              20.210            -0.621         3.253
CLDTOT            58.468              60.020            -1.551         3.752
EKE_850            9.728               9.703             0.026         1.502
EP            -1.877e-01          -1.664e-01        -2.131e-02         0.829
FLNS              43.429              49.791            -6.362         7.066
FLNSC             54.967              64.871            -9.904        10.160
FLNT             255.614             253.641             1.973         5.542
FLNTC            285.097             285.254            -0.158         2.122
FSDS             223.272             225.362            -2.090         6.739
FSDSC            292.172             296.328            -4.155         4.249
FSNS             208.271             210.159            -1.888         6.213
FSNSC            272.955             276.740            -3.785         3.878
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       257.350             260.794            -3.445         3.558
FSNT             304.545             302.779             1.766         5.556
FSNTC            365.788             365.305             0.483         0.683
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            134.878             129.745             5.133         9.923
LWCF              29.482              31.613            -2.131         4.678
PRECT              4.872               4.671             0.201         0.732
PRECT_LAND         5.005               4.684             0.320         0.666
PRECT_OCEAN        4.803               4.641             0.163         0.755
PREH2O            54.436              44.258            10.178        10.616
PREH2O_OCEAN      56.590              46.078            10.511        10.906
PSI_200            1.372               1.309             0.064         0.168
PS               996.541             995.827             0.714         0.808
PSL             1012.576            1011.931             0.645         0.724
QFLX               4.685               4.504             0.180         0.274
SHFLX             16.332              16.843            -0.511         3.773
SNOWHLND           0.000               0.000             0.000         0.000
SST               30.633              28.154             2.479         2.496
STRESS_MAG         0.055               0.060            -0.005         0.008
SWCF             -61.243             -62.526             1.283         5.553
T_850            293.594             290.636             2.958         2.986
TGCLDLWP          53.041              51.732             1.309         6.613
TGCLDIWP          17.714              18.793            -1.079         4.907
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.104               0.105            -0.002         0.012
AODDUST            0.002               0.002            -0.000         0.001
TREFHT           302.332             299.548             2.784         2.822
TS               303.168             300.472             2.696         2.748
TS_LAND          301.239             297.869             3.370         3.419
U_200              3.451               3.890            -0.439         1.431
VT_850            -2.130              -2.373             0.243         0.864
Z3_500            59.551              58.794             0.757         0.758
