DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            26.332              26.260             0.072         4.395
RESSURF           -5.620              -4.941            -0.679         5.565
SOLIN            388.453             388.453             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.346              -0.480             0.134         1.922
CLDHGH            41.279              41.560            -0.280         3.993
CLDLOW            31.143              31.924            -0.781         3.032
CLDMED            19.253              20.119            -0.866         4.011
CLDTOT            58.446              59.355            -0.908         3.772
EKE_850           10.330               9.017             1.313         2.290
EP             5.870e-02          -6.205e-03         6.491e-02         0.987
FLNS              42.009              47.984            -5.974         6.803
FLNSC             53.749              63.236            -9.487         9.646
FLNT             258.282             256.080             2.201         5.909
FLNTC            285.473             285.467             0.006         2.143
FSDS             206.577             207.764            -1.186         7.736
FSDSC            272.623             276.494            -3.871         3.942
FSNS             192.254             193.347            -1.093         7.219
FSNSC            254.392             257.929            -3.537         3.603
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       240.361             243.819            -3.458         3.534
FSNT             284.614             282.340             2.274         6.839
FSNTC            343.081             342.661             0.419         0.620
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            138.537             132.708             5.829        10.621
LWCF              27.192              29.387            -2.195         4.982
PRECT              4.719               4.592             0.128         0.876
PRECT_LAND         3.349               3.282             0.067         0.422
PRECT_OCEAN        5.170               5.021             0.150         0.989
PREH2O            55.457              45.494             9.964        10.382
PREH2O_OCEAN      58.099              47.720            10.379        10.778
PSI_200           -2.976              -2.873            -0.103         0.200
PS               998.518             997.719             0.799         0.881
PSL             1014.585            1013.860             0.725         0.796
QFLX               4.778               4.585             0.193         0.282
SHFLX             17.328              17.596            -0.269         3.598
SNOWHLND           0.000               0.000             0.000         0.000
SST               30.434              28.026             2.408         2.419
STRESS_MAG         0.068               0.073            -0.005         0.009
SWCF             -58.467             -60.321             1.854         6.873
T_850            293.620             290.668             2.952         2.983
TGCLDLWP          50.939              51.480            -0.541         7.359
TGCLDIWP          14.528              15.953            -1.425         4.608
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.134               0.135            -0.001         0.014
AODDUST            0.007               0.006             0.000         0.003
TREFHT           302.358             299.607             2.751         2.790
TS               303.156             300.480             2.676         2.732
TS_LAND          301.704             298.220             3.484         3.517
U_200              0.555               0.457             0.098         1.768
VT_850             3.009               3.457            -0.448         1.117
Z3_500            59.742              58.986             0.757         0.757
