DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            51.771              51.395             0.375         3.571
RESSURF           21.457              21.877            -0.421         4.569
SOLIN            411.980             411.980             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.532              -0.548             0.016         0.901
CLDHGH            42.976              43.371            -0.396         3.691
CLDLOW            30.301              31.276            -0.975         2.783
CLDMED            18.501              18.974            -0.473         3.522
CLDTOT            58.710              59.673            -0.963         3.274
EKE_850           10.157               9.993             0.164         1.825
EP            -1.290e-01          -1.292e-01         2.027e-04         0.883
FLNS              42.153              48.589            -6.436         6.981
FLNSC             53.368              63.290            -9.922        10.096
FLNT             256.190             255.282             0.908         5.200
FLNTC            285.713             286.265            -0.552         1.905
FSDS             226.945             229.512            -2.567         7.011
FSDSC            292.454             296.593            -4.140         4.189
FSNS             211.818             214.165            -2.347         6.561
FSNSC            273.484             277.263            -3.779         3.829
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       258.025             261.501            -3.476         3.510
FSNT             307.960             306.677             1.283         5.675
FSNTC            366.182             365.711             0.471         0.638
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            130.617             125.870             4.747         9.577
LWCF              29.523              30.983            -1.460         4.304
PRECT              4.659               4.495             0.164         0.809
PRECT_LAND         4.498               4.271             0.227         0.533
PRECT_OCEAN        4.698               4.553             0.146         0.887
PREH2O            56.429              45.902            10.527        10.909
PREH2O_OCEAN      58.436              47.558            10.878        11.254
PSI_200            0.148               0.033             0.115         0.224
PS               996.532             996.147             0.385         0.547
PSL             1012.525            1012.211             0.314         0.436
QFLX               4.530               4.366             0.164         0.264
SHFLX             17.591              17.828            -0.237         3.925
SNOWHLND           0.000               0.000             0.000         0.000
SST               31.000              28.534             2.466         2.479
STRESS_MAG         0.050               0.054            -0.004         0.008
SWCF             -58.222             -59.034             0.813         5.731
T_850            294.403             291.446             2.957         2.977
TGCLDLWP          49.176              47.764             1.412         6.008
TGCLDIWP          17.231              18.218            -0.987         4.246
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.101               0.103            -0.002         0.011
AODDUST            0.005               0.005             0.000         0.001
TREFHT           303.045             300.281             2.764         2.794
TS               303.921             301.240             2.681         2.727
TS_LAND          303.105             299.756             3.348         3.384
U_200              6.537               5.675             0.861         1.724
VT_850             0.285               0.135             0.150         0.670
Z3_500            59.639              58.912             0.727         0.727
