DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: e.ie12.E1850C5.f19_g16.PLIO.2xCO2 (yrs 41-60)
 
CONTROL CASE: e.ie12.E1850C5.f19_g16.PLIO.1xCO2 (yrs 41-60)
 
Variable    e.ie12.E1850C5.f19_g16.PLIO.2xCO2  e.ie12.E1850C5.f19_g16.PLIO.1xCO2  e.ie12.E1850C5.f19_g16.PLIO.2xCO2        RMSE
                                                      -e.ie12.E1850C5.f19_g16.PLIO.1xCO2
RESTOM            53.058              52.295             0.763         4.738
RESSURF           25.156              24.090             1.066         5.940
SOLIN            417.133             417.133             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.411              -0.443             0.032         0.872
CLDHGH            41.457              42.326            -0.869         4.499
CLDLOW            31.667              33.034            -1.367         3.271
CLDMED            19.981              20.565            -0.584         2.982
CLDTOT            58.833              60.553            -1.720         4.067
EKE_850           10.136              10.417            -0.281         1.353
EP            -3.652e-01          -3.171e-01        -4.813e-02         0.972
FLNS              40.839              46.990            -6.151         6.907
FLNSC             52.833              62.844           -10.011        10.235
FLNT             255.564             253.902             1.662         5.910
FLNTC            284.834             285.151            -0.317         2.262
FSDS             225.312             226.690            -1.378         7.229
FSDSC            295.288             299.628            -4.340         4.409
FSNS             210.387             211.593            -1.206         6.734
FSNSC            276.288             280.247            -3.958         4.033
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       259.131             262.655            -3.524         3.574
FSNT             308.621             306.197             2.425         6.470
FSNTC            370.594             370.173             0.421         0.729
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            126.731             122.530             4.201        10.494
LWCF              29.270              31.249            -1.978         4.854
PRECT              4.792               4.592             0.200         0.855
PRECT_LAND         4.816               4.402             0.414         0.784
PRECT_OCEAN        4.774               4.648             0.126         0.879
PREH2O            56.725              46.074            10.651        11.006
PREH2O_OCEAN      58.365              47.482            10.883        11.240
PSI_200           -1.325              -1.242            -0.083         0.180
PS               997.597             996.852             0.745         0.840
PSL             1013.598            1012.926             0.672         0.762
QFLX               4.427               4.275             0.152         0.276
SHFLX             17.661              17.984            -0.322         3.884
SNOWHLND           0.000               0.000             0.000         0.000
SST               30.392              27.960             2.432         2.446
STRESS_MAG         0.056               0.059            -0.003         0.008
SWCF             -61.972             -63.976             2.004         6.494
T_850            294.140             291.178             2.961         3.000
TGCLDLWP          55.123              54.554             0.569         8.114
TGCLDIWP          17.801              18.729            -0.928         4.978
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS             0.114               0.113             0.001         0.016
AODDUST            0.002               0.003            -0.000         0.001
TREFHT           302.649             299.889             2.761         2.800
TS               303.485             300.809             2.676         2.735
TS_LAND          303.158             299.736             3.422         3.477
U_200              2.642               2.828            -0.186         1.431
VT_850             0.400               0.645            -0.245         0.864
Z3_500            59.682              58.931             0.750         0.751
